circRNA,disease,mean_importance,std_importance,n_explanations,rank
hsa_circ6510-1,"diabetes mellitus, type 2",0.2442265883088112,0.1432682781760278,20,312
hsa_circ_0000003,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,313
hsa_circ_0000073,breast neoplasms,0.2442265883088112,0.1432682781760278,20,314
hsa_circ_0000092,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,315
hsa_circ_0000140,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,316
hsa_circ_00001666,colonic neoplasms,0.2442265883088112,0.1432682781760278,20,317
hsa_circ_0000177,glioma,0.2442265883088112,0.1432682781760278,20,318
hsa_circ_0000190,multiple myeloma,0.2442265883088112,0.1432682781760278,20,319
hsa_circ_0000190,osteosarcoma,0.2442265883088112,0.1432682781760278,20,320
hsa_circ_0000204,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,321
hsa_circ_0000218,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,322
hsa_circ_0000263,uterine cervical neoplasms,0.2442265883088112,0.1432682781760278,20,323
hsa_circ_0000267,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,324
hsa_circ_0000284,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,325
hsa_circ_0000284,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,326
hsa_circ_0000291,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,327
hsa_circ_0000337,esophageal squamous cell carcinoma,0.2442265883088112,0.1432682781760278,20,328
hsa_circ_0000376,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,329
hsa_circ_0000378,primary great saphenous vein varicosities,0.2442265883088112,0.1432682781760278,20,330
hsa_circ_0000408,lung squamous cell carcinoma,0.2442265883088112,0.1432682781760278,20,331
hsa_circ_0000414,"tuberculosis, pulmonary",0.2442265883088112,0.1432682781760278,20,332
hsa_circ_0000467,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,333
hsa_circ_0000479,"lupus erythematosus, systemic",0.2442265883088112,0.1432682781760278,20,334
hsa_circ_0000495,squamous cell carcinoma of head and neck,0.2442265883088112,0.1432682781760278,20,335
hsa_circ_0000517,multiple sclerosis,0.2442265883088112,0.1432682781760278,20,336
hsa_circ_0000519,multiple sclerosis,0.2442265883088112,0.1432682781760278,20,337
hsa_circ_0000523,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,338
hsa_circ_0000554,esophageal neoplasms,0.2442265883088112,0.1432682781760278,20,339
hsa_circ_0000567,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,340
hsa_circ_0000594,glioma,0.2442265883088112,0.1432682781760278,20,341
hsa_circ_0000615,diabetic retinopathy,0.2442265883088112,0.1432682781760278,20,342
hsa_circ_0000615,hirschsprung disease,0.2442265883088112,0.1432682781760278,20,343
hsa_circ_0000615,lupus nephritis,0.2442265883088112,0.1432682781760278,20,344
hsa_circ_0000615,myocardial infarction,0.2442265883088112,0.1432682781760278,20,345
